Name,Address,Latitude,Longitude,Homepage,Description
旭川市旭山動物園,〒078-8205 北海道旭川市東旭川町倉沼,43.768642400000004,142.4792728778424,,旭川駅から路線バスで約40分、広大な自然に囲まれた中でのびのびと動物たちが過ごす「旭川市旭山動物園」では、命の尊さ・美しさをテーマにご案内しております。ホッキョクグマやペンギン、レッサーパンダなど人気の動物たちがたくさん待っていますよ。小動物と触れ合えるコーナーもありますので、お子さまもご一緒にお楽しみいただけます。
登別温泉,〒059-0551 北海道登別市登別温泉町,42.4947756,141.1451398,http://www.noboribetsu-spa.jp/,登別温泉は北海道屈指の温泉地で、豊富な湯量と多彩な泉質に恵まれた温泉郷。火山性景勝地である「地獄谷」は登別温泉最大の泉源地で、１日１万トンのお湯が自然湧出している。また、地獄谷の周辺には遊歩道も整備されており、「奥の湯」や「大湯沼」などの景勝地を散策することができる。大湯沼川沿いの探勝歩道途中には全国でも珍しい「天然足湯」が体験できる場所が整備されており、国内外を問わず多くの方に人気のスポットだ。
円山動物園,〒064-0959 北海道札幌市中央区宮ヶ丘３-１,43.0487514,141.30612703087962,http://www.city.sapporo.jp/zoo,ほ乳類、鳥類、爬虫類など動物約160種、700点を飼育する道内有数の動物園。　子どもに人気のライオンやキリンがいる熱帯動物館をはじめ、6種類のクマを展示している世界の熊館、高さ15mのジャングルジムがあり生態展示を目的としたチンパンジー館、人も動物も快適に過ごせるエゾシカ・オオカミ舎、ヒツジやヤギに触れることができるこども動物園などがあり、年間を通して動物を見ることができる。　敷地内には、迫力いっぱいのループ&コークやバイキングなど人気の遊具が揃った遊園地「円山子供の国キッドランド」を併設。大人も子どもも一日中楽しめる施設として、休日は家族連れや若者などで賑わう。
洞爺湖,北海道虻田郡洞爺湖町／壮瞥町,42.6019661,140.89569112064035,http://www.laketoya.com,支笏洞爺国立公園にある湖。日本で9番目に大きい湖。火山の活動によってできた、ほぼ円形のカルデラ湖。中島に森林博物館がある。昭和新山、有珠山、遠くに羊蹄山を望む。南西岸は洞爺湖温泉で、旅館・ホテルが林立し、バスや遊覧船の拠点になっている。山々と湖がおりなす景観美は、北海道三大景観に数えられる。
北海道神宮,〒064-8505 北海道札幌市中央区宮ヶ丘474,43.05457975,141.30920485279125,http://www.hokkaidojingu.or.jp/,北海道の総鎮守。創建1869年。約18万平方mの境内地は桜の名所となっている。毎年、初詣をはじめ、多くの参拝客が訪れるほか、6月には北海道神宮例祭（札幌まつり）が開かれ、お囃子にのって神輿や山車が市内を練り歩く姿が見られる。
支笏湖,〒066-0000 北海道千歳市,42.7538546,141.3275268775211,,"支笏湖は支笏洞爺国立公園に属するカルデラ湖で、長径13ｋｍ、短径5ｋｍのほぼ東西に長いマユ型をしています。シコツとはアイヌ語で「大きな窪地」という意味で、周囲は約40キロ、最大深度は約363ｍ、千歳市の重要な観光スポットとなっています。また、日本で最もきれいな湖の１つで、日本最北の不凍湖としても知られています。　支笏湖周辺にはオコタンペ湖や苔の洞門、風不死岳、恵庭岳、樽前山などの高さが1,000ｍを越す山々や、天然の深い森など、美しい自然が残されています。　支笏湖周辺には支笏湖温泉、丸駒温泉、いとう温泉の3つの温泉があるほか、ボート遊びやキャンプ、スキューバダイビング、カヌーなども楽しむことができるほか、「支笏湖湖水まつり」や「支笏湖紅葉まつり」、「千歳・支笏湖氷濤まつり」など、様々なイベントが開催されています。"
白い恋人パーク,〒063-0052 北海道札幌市西区宮の沢二条2-11-36,43.0886903,141.2716802,,"「白い恋人パーク」は、北海道札幌市にあるお菓子のテーマパークです。北海道土産として人気のお菓子である「白い恋人」の製造工程を見学できたり、お菓子作りを体験できたり、人気のお土産を購入できたりと、さまざなな形で「白い恋人」に親しめます。大きな白い恋人のモニュメントやお菓子の家、ロンドンバスなどフォトジェニックなアイテムが多いのも特徴です。パーク内の「カフェ・あんとるぽー」ではお酒もご用意しているため、大人の方もぜひお越しください。ワイングラスで提供する、見た目もおしゃれな「アイス ブリュードコーヒー」はイチオシの商品。広いパーク内には、ローズガーデンやチョコレートラウンジなどお洒落なスポットが他にもたくさんあるので、ぜひ優雅な雰囲気を楽しんでみてください。
また、シーズンごとに開催されるイベントも要チェック。2017年の冬には、サッカー場やスケートリンクを開放してプロジェクションマッピングのショーやスケートが楽しめる「スイーツドリームイルミネーション」を開催。イベントの際も、アソビューの電子チケットを購入すれば、お得に利用できます。"
モエレ沼公園,〒007-0011 北海道札幌市東区モエレ沼公園１-１,43.122131,141.428317,http://moerenumapark.jp/,世界的に有名な彫刻家イサム・ノグチが設計した広大な自然公園。「公園全体をひとつの彫刻作品にする」というコンセプトで設計された園内には、氏がデザインした126基ものユニークな彫刻遊具が点在する。公園の象徴的な建築物「ガラスのピラミッド」をはじめ、一面に新緑が広がる「モエレ山」、光と水の彫刻と称される「海の噴水」など、魅力的な施設が多い。春は花見、夏はモエレビーチの水遊び、秋は伝統的な花火イベント、冬はスキーと、四季で楽しめるレジャーも充実している。
函館山,〒040-0000 北海道函館市函館山,41.7593192,140.703984,,世界三大夜景のひとつに認定された絶景を眺められる山で、函館エリア有数の観光スポット。山麓駅にある「函館山ロープウェイ」に乗れば、わずか3分で山頂展望台に到着。両側を津軽海峡と函館港に挟まれた扇状に広がる市街地が特徴的で、夜になると煌びやかに光り輝く美しい夜景を見られる。標高が334mと低い山なので、軽装でも1時間程度で登れるハイキングコースも整備されている。
藻岩山,〒064-0942 北海道札幌市中央区伏見５丁目３-７,43.0223946,141.3223386,http://www.sapporo-dc.co.jp/,札幌市のほぼ中央に位置する標高531mの藻岩山。麓から中腹まではロープウェイか藻岩山観光自動車道を利用、中腹から山頂までは世界初の駆動方式を採用したミニケーブルカー「もーりすカー」に乗車する。札幌市民には気軽に登れる山として人気が高く、軽装で登れる5つの登山道（最短コース2.4km、最長コース4.5km）があり、夏場の週末には登山客で賑わいを見せる。
定山渓温泉,〒061-2302 北海道札幌市南区定山渓温泉,42.9700425,141.1664361,http://www.jyozankei.com/,札幌駅から２７ｋｍ、原生林におおわれた山合いの豊平川上流にあるのがこの温泉。デラックスなホテルや古風で純日本式な明治調の旅館・みやげ店などが立ち並び、大温泉地にふさわしい規模ながら、閑静な環境を保っており、家族的で健康的なムードの温泉街となっている。気温の低い春や秋・冬の季節には川面から湯煙が立ちのぼって温泉情緒をかもし出している。また、春には新緑、夏は涼しく、秋にはすばらしい紅葉が楽しめるほか、冬にはスケールの大きさと施設の良さで人気の高い定山渓高原札幌国際スキー場なども近く、歓楽温泉街として一年中楽しめる温泉である。
大通公園,〒060-0042 北海道札幌市中央区大通西１〜１２丁目,43.05990175,141.3475100757782,http://www.sapporo-park.or.jp/odori/,市街地の中心部を東西に貫く面積７８．９０１平方メートル・全長約１．５ｋｍの一大グリーンベルト。噴水・彫刻・花壇で美しく彩られ、春から秋には名物トウキビのワゴンが並ぶ。さっぽろ雪まつりやホワイトイルミネーションなどの様々な催しの会場でもある。
